text,label
Win a free phone now!,spam
Meeting at 10am,ham
You have won a lottery,spam
Please see the attached agenda,ham
"Congratulations! You've won $1000000. Click here to claim.",spam
"Hi John, can we reschedule our call to 3pm tomorrow?",ham
"URGENT: Your account will be suspended. Verify now at http://fake-bank.com",spam
"Thanks for your order #48291. Your package arrives Friday.",ham
"Limited time offer! Buy one get one free on all products!",spam
"Please review the Q3 report attached and share feedback by EOD.",ham
"You have been selected for a free vacation. Reply YES to claim.",spam
"Reminder: Team standup at 9:30am in conference room B.",ham
"Act now! Double your income working from home. No experience needed!",spam
"Your invoice for March is ready. View it in your account dashboard.",ham
"Exclusive deal just for you! 90% off designer watches today only!",spam
"Hi Sarah, the project deadline has been moved to next Friday.",ham
"Your password expires in 24 hours. Update it immediately here.",spam
"Lunch meeting confirmed for Tuesday at noon at the downtown cafe.",ham
"Make money fast! Join thousands earning $5000/week from home!",spam
"Your subscription renewal is complete. Thank you for staying with us.",ham
"Free iPhone 15! You've been chosen. Enter your details to receive.",spam
"Can you send me the updated spreadsheet before the client call?",ham
"WARNING: Unusual activity detected on your credit card. Click to verify.",spam
"The quarterly review slides are uploaded to the shared drive.",ham
"Hot singles in your area want to meet you tonight!",spam
"Your flight confirmation for AA204 on March 15 is attached.",ham
"Claim your free gift card worth $500. Limited spots available!",spam
"Please approve the expense report submitted last week.",ham
"You inherited $2.5 million from a distant relative. Contact us now.",spam
"Happy birthday! Here's a 20% discount code for your next purchase.",ham
"Get rich quick with this one weird trick doctors hate!",spam
"The board meeting minutes from yesterday are ready for review.",ham
"Your computer is infected! Download our antivirus immediately!",spam
"Training session on cybersecurity is scheduled for Thursday 2pm.",ham
"Zero down payment on a new car! Bad credit OK. Apply today!",spam
"Your package was delivered to the front porch at 3:47pm today.",ham
"You've won an all-expenses-paid cruise! Call now to book.",spam
"Please find the signed contract attached for your records.",ham
"Enlarge your income with this proven investment strategy!",spam
"Your dentist appointment is confirmed for April 3 at 10am.",ham
"Final notice: IRS penalty due. Pay immediately to avoid arrest.",spam
"The new employee handbook has been updated. Please review it.",ham
"Work from home and earn $10000/month with no effort!",spam
"Your Uber receipt for trip on March 12 is available online.",ham
"Miracle weight loss pill melts fat overnight. Order now!",spam
"Team offsite location changed to the Marriott downtown.",ham
"Your Netflix payment failed. Update billing info to avoid suspension.",spam
"Can you cover my shift on Saturday? Let me know ASAP.",ham
"Free money! Government grant available. No repayment required!",spam
"Your parking permit renewal was processed successfully.",ham
"Hot stock tip: This penny stock will 100x by next week!",spam
"The client presentation is scheduled for Monday at 2pm.",ham
"You've been pre-approved for a $50000 loan. Accept now!",spam
"Please submit your timesheet by end of day Friday.",ham
"Exclusive casino bonus! Deposit $10 get $500 free!",spam
"Your Amazon order has shipped and will arrive by Thursday.",ham
"Nigerian prince needs your help transferring $10 million.",spam
"The office will be closed Monday for the holiday.",ham
"Double your bitcoin in 24 hours guaranteed!",spam
"Your lab results are available in the patient portal.",ham
"Act fast! Last chance to claim your free MacBook Pro!",spam
"Please join the Zoom call at 4pm for the project kickoff.",ham
"Your social security number has been compromised. Call immediately!",spam
"The annual performance review forms are due next week.",ham
"Earn passive income while you sleep! Start today!",spam
"Your hotel reservation at Hilton is confirmed for March 20-22.",ham
"Free trial of premium software! No credit card required!",spam
"The budget proposal needs your signature by Wednesday.",ham
"You've won a Walmart gift card! Click to redeem before it expires.",spam
"Please bring your laptop to the IT security audit on Friday.",ham
"Make $500 per day posting ads online from your couch!",spam
"Your car insurance policy renewal notice is attached.",ham
"Secret formula for unlimited wealth revealed by ex-Wall Street trader!",spam
"The team building event is at the park this Saturday at 11am.",ham
"Your PayPal account has been limited. Verify identity now!",spam
"Please review and approve the vacation request from Mike.",ham
"Guaranteed approval credit card with $10000 limit. Apply free!",spam
"Your tax refund of $847 has been processed and will deposit soon.",ham
"Free energy device powers your home forever. Order the blueprint!",spam
"The sprint retrospective is moved to Wednesday at 3pm.",ham
"You've been hacked! Send bitcoin to recover your files!",spam
"Your gym membership auto-renewal is confirmed for another year.",ham
"Loose 30 pounds in 7 days with this secret Japanese method!",spam
"Please confirm your attendance for the company town hall.",ham
"Your bank transfer of $5000 is pending. Confirm your identity.",spam
"The new hire orientation starts at 9am in the main conference room.",ham
